mode,dataset,pred_len,test_mse,test_mae
forecasting_electricity_laya_mixer_stats,ETTm2,96,0.908118,0.713553
forecasting_electricity_laya_mixer_stats,ETTm2,192,0.930279,0.722719
forecasting_electricity_laya_mixer_stats,ETTm2,336,0.978206,0.745978
forecasting_electricity_laya_mixer_stats,ETTm2,720,0.983834,0.755717
forecasting_electricity_laya_mixer_stats,weather,96,0.506472,0.546596
forecasting_electricity_laya_mixer_stats,weather,192,0.532983,0.560143
forecasting_electricity_laya_mixer_stats,weather,336,0.555565,0.569862
forecasting_electricity_laya_mixer_stats,weather,720,0.606824,0.599756
forecasting_electricity_laya_mixer_text,ETTm1,96,0.488962,0.511343
forecasting_electricity_laya_mixer_text,ETTm1,192,0.537272,0.534943
forecasting_electricity_laya_mixer_text,ETTm1,336,0.583458,0.558701
forecasting_electricity_laya_mixer_text,ETTm1,720,0.618617,0.580254
forecasting_electricity_laya_mixer_text,ETTm2,96,0.581035,0.583503
forecasting_electricity_laya_mixer_text,ETTm2,192,0.597936,0.587598
forecasting_electricity_laya_mixer_text,ETTm2,336,0.617422,0.598136
forecasting_electricity_laya_mixer_text,ETTm2,720,0.683192,0.633495
forecasting_electricity_laya_mixer_text,weather,96,0.512083,0.546877
forecasting_electricity_laya_mixer_text,weather,192,0.547441,0.565795
forecasting_electricity_laya_mixer_text,weather,336,0.569049,0.573230
forecasting_electricity_laya_mixer_text,weather,720,0.611887,0.596679
forecasting_electricity_laya_mixer_text_stats_avg,ETTm1,96,0.470352,0.487145
forecasting_electricity_laya_mixer_text_stats_avg,ETTm1,192,0.515941,0.507423
forecasting_electricity_laya_mixer_text_stats_avg,ETTm1,336,0.553762,0.525843
forecasting_electricity_laya_mixer_text_stats_avg,ETTm1,720,0.583987,0.546210
forecasting_electricity_laya_mixer_text_stats_avg,ETTm2,96,0.476787,0.505992
forecasting_electricity_laya_mixer_text_stats_avg,ETTm2,192,0.501106,0.517628
forecasting_electricity_laya_mixer_text_stats_avg,ETTm2,336,0.559786,0.545849
forecasting_electricity_laya_mixer_text_stats_avg,ETTm2,720,0.608321,0.569086
forecasting_electricity_laya_mixer_text_stats_avg,weather,96,0.451396,0.518985
forecasting_electricity_laya_mixer_text_stats_avg,weather,192,0.480665,0.535205
forecasting_electricity_laya_mixer_text_stats_avg,weather,336,0.510255,0.550545
forecasting_electricity_laya_mixer_text_stats_avg,weather,720,0.556373,0.572876
forecasting_electricity_laya_mixer_text_stats_joint,ETTm1,96,0.485041,0.510377
forecasting_electricity_laya_mixer_text_stats_joint,ETTm1,192,0.543540,0.539612
forecasting_electricity_laya_mixer_text_stats_joint,ETTm1,336,0.578648,0.553627
forecasting_electricity_laya_mixer_text_stats_joint,ETTm1,720,0.608720,0.572020
forecasting_electricity_laya_mixer_text_stats_joint,ETTm2,96,0.749876,0.665524
forecasting_electricity_laya_mixer_text_stats_joint,ETTm2,192,0.783536,0.683281
forecasting_electricity_laya_mixer_text_stats_joint,ETTm2,336,0.855987,0.723919
forecasting_electricity_laya_mixer_text_stats_joint,ETTm2,720,0.899396,0.741206
forecasting_electricity_laya_mixer_text_stats_joint,weather,96,0.517564,0.541761
forecasting_electricity_laya_mixer_text_stats_joint,weather,192,0.558483,0.565827
forecasting_electricity_laya_mixer_text_stats_joint,weather,336,0.589553,0.579809
forecasting_electricity_laya_mixer_text_stats_joint,weather,720,0.634354,0.605438
