mode,dataset,pred_len,test_mse,test_mae
forecasting_electricity_laya_mixer_concat_stats,ETTm1,720,0.9597,0.7141
forecasting_electricity_laya_mixer_concat_stats,ETTm2,96,1.1369,0.7959
forecasting_electricity_laya_mixer_concat_stats,ETTm2,192,1.1610,0.8086
forecasting_electricity_laya_mixer_concat_stats,ETTm2,336,1.1803,0.8204
forecasting_electricity_laya_mixer_concat_stats,ETTm2,720,1.2036,0.8358
forecasting_electricity_laya_mixer_concat_stats,weather,96,0.6021,0.6017
forecasting_electricity_laya_mixer_concat_stats,weather,192,0.6185,0.6122
forecasting_electricity_laya_mixer_concat_stats,weather,336,0.6423,0.6242
forecasting_electricity_laya_mixer_concat_stats,weather,720,0.6770,0.6428
forecasting_electricity_laya_mixer_concat_text,ETTm1,96,0.4523,0.4914
forecasting_electricity_laya_mixer_concat_text,ETTm1,192,0.5060,0.5206
forecasting_electricity_laya_mixer_concat_text,ETTm1,336,0.5423,0.5364
forecasting_electricity_laya_mixer_concat_text,ETTm1,720,0.5746,0.5566
forecasting_electricity_laya_mixer_concat_text,ETTm2,96,0.5722,0.5450
forecasting_electricity_laya_mixer_concat_text,ETTm2,192,0.5739,0.5488
forecasting_electricity_laya_mixer_concat_text,ETTm2,336,0.6164,0.5735
forecasting_electricity_laya_mixer_concat_text,ETTm2,720,0.6548,0.5989
forecasting_electricity_laya_mixer_concat_text,weather,96,0.4564,0.5104
forecasting_electricity_laya_mixer_concat_text,weather,192,0.4857,0.5258
forecasting_electricity_laya_mixer_concat_text,weather,336,0.5130,0.5419
forecasting_electricity_laya_mixer_concat_text,weather,720,0.5512,0.5641
forecasting_electricity_laya_mixer_concat_text_stats_avg,ETTm1,96,0.5539,0.5458
forecasting_electricity_laya_mixer_concat_text_stats_avg,ETTm1,192,0.5911,0.5633
forecasting_electricity_laya_mixer_concat_text_stats_avg,ETTm1,336,0.6276,0.5804
forecasting_electricity_laya_mixer_concat_text_stats_avg,ETTm1,720,0.6469,0.5928
forecasting_electricity_laya_mixer_concat_text_stats_avg,ETTm2,96,0.6716,0.6151
forecasting_electricity_laya_mixer_concat_text_stats_avg,ETTm2,192,0.6861,0.6226
forecasting_electricity_laya_mixer_concat_text_stats_avg,ETTm2,336,0.7351,0.6413
forecasting_electricity_laya_mixer_concat_text_stats_avg,ETTm2,720,0.7876,0.6701
forecasting_electricity_laya_mixer_concat_text_stats_avg,weather,96,0.4579,0.5186
forecasting_electricity_laya_mixer_concat_text_stats_avg,weather,192,0.4881,0.5354
forecasting_electricity_laya_mixer_concat_text_stats_avg,weather,336,0.5104,0.5474
forecasting_electricity_laya_mixer_concat_text_stats_avg,weather,720,0.5447,0.5670
forecasting_electricity_laya_mixer_concat_text_stats_joint,ETTm1,96,0.5883,0.5209
forecasting_electricity_laya_mixer_concat_text_stats_joint,ETTm1,192,0.6237,0.5383
forecasting_electricity_laya_mixer_concat_text_stats_joint,ETTm1,336,0.6543,0.5549
forecasting_electricity_laya_mixer_concat_text_stats_joint,ETTm1,720,0.6913,0.5811
forecasting_electricity_laya_mixer_concat_text_stats_joint,ETTm2,96,0.6374,0.5521
forecasting_electricity_laya_mixer_concat_text_stats_joint,ETTm2,192,0.6645,0.5696
forecasting_electricity_laya_mixer_concat_text_stats_joint,ETTm2,336,0.6987,0.5903
forecasting_electricity_laya_mixer_concat_text_stats_joint,ETTm2,720,0.7456,0.6151
forecasting_electricity_laya_mixer_concat_text_stats_joint,weather,96,0.5983,0.5945
forecasting_electricity_laya_mixer_concat_text_stats_joint,weather,192,0.6176,0.6057
forecasting_electricity_laya_mixer_concat_text_stats_joint,weather,336,0.6339,0.6147
forecasting_electricity_laya_mixer_concat_text_stats_joint,weather,720,0.6540,0.6265
forecasting_electricity_laya_mixer_stats,ETTm1,96,0.6255,0.6050
forecasting_electricity_laya_mixer_stats,ETTm1,192,0.6692,0.6231
forecasting_electricity_laya_mixer_stats,ETTm1,336,0.7066,0.6407
forecasting_electricity_laya_mixer_stats,ETTm1,720,0.7633,0.6693
forecasting_electricity_laya_mixer_stats,ETTm2,96,0.9081,0.7136
forecasting_electricity_laya_mixer_stats,ETTm2,192,0.9303,0.7227
forecasting_electricity_laya_mixer_stats,ETTm2,336,0.9782,0.7460
forecasting_electricity_laya_mixer_stats,ETTm2,720,0.9838,0.7557
forecasting_electricity_laya_mixer_stats,weather,96,0.5065,0.5466
forecasting_electricity_laya_mixer_stats,weather,192,0.5330,0.5601
forecasting_electricity_laya_mixer_stats,weather,336,0.5556,0.5699
forecasting_electricity_laya_mixer_stats,weather,720,0.6068,0.5998
forecasting_electricity_laya_mixer_text,ETTm1,96,0.4890,0.5113
forecasting_electricity_laya_mixer_text,ETTm1,192,0.5373,0.5349
forecasting_electricity_laya_mixer_text,ETTm1,336,0.5835,0.5587
forecasting_electricity_laya_mixer_text,ETTm1,720,0.6186,0.5803
forecasting_electricity_laya_mixer_text,ETTm2,96,0.5810,0.5835
forecasting_electricity_laya_mixer_text,ETTm2,192,0.5979,0.5876
forecasting_electricity_laya_mixer_text,ETTm2,336,0.6174,0.5981
forecasting_electricity_laya_mixer_text,ETTm2,720,0.6832,0.6335
forecasting_electricity_laya_mixer_text,weather,96,0.5121,0.5469
