mode,dataset,pred_len,test_mse,test_mae
forecasting_electricity_laya_mixer_text_stats_avg,ETTm1,96,0.470,0.487
forecasting_electricity_laya_mixer_text_stats_avg,ETTm1,192,0.516,0.507
forecasting_electricity_laya_mixer_text_stats_avg,ETTm1,336,0.554,0.526
forecasting_electricity_laya_mixer_text_stats_avg,ETTm1,720,0.584,0.546
forecasting_electricity_laya_mixer_text_stats_avg,ETTm2,96,0.477,0.506
forecasting_electricity_laya_mixer_text_stats_avg,ETTm2,192,0.501,0.518
forecasting_electricity_laya_mixer_text_stats_avg,ETTm2,336,0.560,0.546
forecasting_electricity_laya_mixer_text_stats_avg,ETTm2,720,0.608,0.569
forecasting_electricity_laya_mixer_text_stats_avg,weather,96,0.451,0.519
forecasting_electricity_laya_mixer_text_stats_avg,weather,192,0.481,0.535
forecasting_electricity_laya_mixer_text_stats_avg,weather,336,0.510,0.551
forecasting_electricity_laya_mixer_text_stats_avg,weather,720,0.556,0.573
forecasting_electricity_laya_mixer_text_stats_joint,ETTm1,96,0.485,0.510
forecasting_electricity_laya_mixer_text_stats_joint,ETTm1,192,0.544,0.540
forecasting_electricity_laya_mixer_text_stats_joint,ETTm1,336,0.579,0.554
forecasting_electricity_laya_mixer_text_stats_joint,ETTm1,720,0.609,0.572
forecasting_electricity_laya_mixer_text_stats_joint,ETTm2,96,0.750,0.666
forecasting_electricity_laya_mixer_text_stats_joint,ETTm2,192,0.784,0.683
forecasting_electricity_laya_mixer_text_stats_joint,ETTm2,336,0.856,0.724
forecasting_electricity_laya_mixer_text_stats_joint,ETTm2,720,0.899,0.741
forecasting_electricity_laya_mixer_text_stats_joint,weather,96,0.518,0.542
forecasting_electricity_laya_mixer_text_stats_joint,weather,192,0.558,0.566
forecasting_electricity_laya_mixer_text_stats_joint,weather,336,0.590,0.580
forecasting_electricity_laya_mixer_text_stats_joint,weather,720,0.634,0.605
