mode,dataset,accuracy,f1_macro
classification_electricity_laya_mixer_concat_text_stats_joint,ECG5000,0.8500,0.3469
classification_electricity_laya_mixer_concat_text_stats_joint,FordA,0.6417,0.6399
classification_electricity_laya_mixer_concat_text_stats_joint,FordB,0.5667,0.5130
classification_electricity_laya_mixer_stats,EthanolConcentration,0.2814,0.1729
classification_electricity_laya_mixer_stats,FaceDetection,0.5102,0.4545
classification_electricity_laya_mixer_stats,Handwriting,0.0447,0.0073
classification_electricity_laya_mixer_stats,Heartbeat,0.7415,0.5155
classification_electricity_laya_mixer_stats,JapaneseVowels,0.4351,0.4298
classification_electricity_laya_mixer_stats,PEMS-SF,0.2428,0.2199
classification_electricity_laya_mixer_stats,SelfRegulationSCP1,0.7201,0.7005
classification_electricity_laya_mixer_stats,SelfRegulationSCP2,0.5056,0.3456
classification_electricity_laya_mixer_stats,SpokenArabicDigits,0.2838,0.2682
classification_electricity_laya_mixer_stats,UWaveGestureLibrary,0.2687,0.2170
classification_electricity_laya_mixer_stats,ECG200,0.7900,0.7523
classification_electricity_laya_mixer_stats,ECG5000,0.8493,0.3466
classification_electricity_laya_mixer_stats,FordA,0.6841,0.6840
classification_electricity_laya_mixer_stats,FordB,0.5741,0.5556
classification_electricity_laya_mixer_text,EthanolConcentration,0.2700,0.1761
classification_electricity_laya_mixer_text,FaceDetection,0.5071,0.4251
classification_electricity_laya_mixer_text,Handwriting,0.0600,0.0087
classification_electricity_laya_mixer_text,Heartbeat,0.7220,0.4193
classification_electricity_laya_mixer_text,JapaneseVowels,0.3595,0.3065
classification_electricity_laya_mixer_text,PEMS-SF,0.1445,0.0939
classification_electricity_laya_mixer_text,SelfRegulationSCP1,0.7167,0.6963
classification_electricity_laya_mixer_text,SelfRegulationSCP2,0.5000,0.3333
classification_electricity_laya_mixer_text,SpokenArabicDigits,0.3288,0.3122
classification_electricity_laya_mixer_text,UWaveGestureLibrary,0.1656,0.0756
classification_electricity_laya_mixer_text,ECG200,0.6400,0.3902
classification_electricity_laya_mixer_text,ECG5000,0.8211,0.3345
classification_electricity_laya_mixer_text,FordA,0.5886,0.5798
