mode,dataset,accuracy,f1_macro
classification_electricity_laya_mixer_concat_text_stats_avg,Handwriting,0.038824,0.008312
classification_electricity_laya_mixer_concat_text_stats_avg,Heartbeat,0.721951,0.544285
classification_electricity_laya_mixer_concat_text_stats_avg,JapaneseVowels,0.264865,0.241529
classification_electricity_laya_mixer_concat_text_stats_avg,PEMS-SF,0.213873,0.167456
classification_electricity_laya_mixer_concat_text_stats_avg,SelfRegulationSCP1,0.723549,0.705783
classification_electricity_laya_mixer_concat_text_stats_avg,SelfRegulationSCP2,0.505556,0.394809
classification_electricity_laya_mixer_concat_text_stats_avg,SpokenArabicDigits,0.236471,0.196588
classification_electricity_laya_mixer_concat_text_stats_avg,UWaveGestureLibrary,0.306250,0.244769
classification_electricity_laya_mixer_concat_text_stats_avg,ECG200,0.640000,0.390244
classification_electricity_laya_mixer_concat_text_stats_avg,ECG5000,0.856444,0.350060
classification_electricity_laya_mixer_concat_text_stats_avg,FordA,0.672727,0.671695
classification_electricity_laya_mixer_concat_text_stats_avg,FordB,0.569136,0.565986
classification_electricity_laya_mixer_concat_text_stats_joint,EthanolConcentration,0.269962,0.176605
classification_electricity_laya_mixer_concat_text_stats_joint,FaceDetection,0.529228,0.508181
classification_electricity_laya_mixer_concat_text_stats_joint,Handwriting,0.061176,0.009867
classification_electricity_laya_mixer_concat_text_stats_joint,Heartbeat,0.736585,0.523994
classification_electricity_laya_mixer_concat_text_stats_joint,JapaneseVowels,0.345946,0.311615
classification_electricity_laya_mixer_concat_text_stats_joint,PEMS-SF,0.341040,0.295972
classification_electricity_laya_mixer_concat_text_stats_joint,SelfRegulationSCP1,0.774744,0.766517
classification_electricity_laya_mixer_concat_text_stats_joint,SelfRegulationSCP2,0.505556,0.363654
classification_electricity_laya_mixer_concat_text_stats_joint,SpokenArabicDigits,0.385630,0.365994
classification_electricity_laya_mixer_concat_text_stats_joint,UWaveGestureLibrary,0.237500,0.129624
classification_electricity_laya_mixer_concat_text_stats_joint,ECG200,0.640000,0.390244
classification_electricity_laya_mixer_concat_text_stats_joint,ECG5000,0.850000,0.346908
classification_electricity_laya_mixer_concat_text_stats_joint,FordA,0.641667,0.639879
classification_electricity_laya_mixer_concat_text_stats_joint,FordB,0.566667,0.512950
classification_electricity_laya_mixer_stats,EthanolConcentration,0.281369,0.172881
classification_electricity_laya_mixer_stats,FaceDetection,0.510216,0.454525
classification_electricity_laya_mixer_stats,Handwriting,0.044706,0.007266
classification_electricity_laya_mixer_stats,Heartbeat,0.741463,0.515496
classification_electricity_laya_mixer_stats,JapaneseVowels,0.435135,0.429813
classification_electricity_laya_mixer_stats,PEMS-SF,0.242775,0.219936
classification_electricity_laya_mixer_stats,SelfRegulationSCP1,0.720137,0.700514
classification_electricity_laya_mixer_stats,SelfRegulationSCP2,0.505556,0.345562
classification_electricity_laya_mixer_stats,SpokenArabicDigits,0.283765,0.268245
classification_electricity_laya_mixer_stats,UWaveGestureLibrary,0.268750,0.216955
classification_electricity_laya_mixer_stats,ECG200,0.790000,0.752329
classification_electricity_laya_mixer_stats,ECG5000,0.849333,0.346628
classification_electricity_laya_mixer_stats,FordA,0.684091,0.684025
classification_electricity_laya_mixer_stats,FordB,0.574074,0.555635
classification_electricity_laya_mixer_text,EthanolConcentration,0.269962,0.176065
classification_electricity_laya_mixer_text,FaceDetection,0.507094,0.425079
classification_electricity_laya_mixer_text,Handwriting,0.060000,0.008704
classification_electricity_laya_mixer_text,Heartbeat,0.721951,0.419263
classification_electricity_laya_mixer_text,JapaneseVowels,0.359459,0.306524
classification_electricity_laya_mixer_text,PEMS-SF,0.144509,0.093928
classification_electricity_laya_mixer_text,SelfRegulationSCP1,0.716724,0.696290
classification_electricity_laya_mixer_text,SelfRegulationSCP2,0.500000,0.333333
classification_electricity_laya_mixer_text,SpokenArabicDigits,0.328786,0.312188
classification_electricity_laya_mixer_text,UWaveGestureLibrary,0.165625,0.075627
classification_electricity_laya_mixer_text,ECG200,0.640000,0.390244
classification_electricity_laya_mixer_text,ECG5000,0.821111,0.334517
classification_electricity_laya_mixer_text,FordA,0.588636,0.579839
classification_electricity_laya_mixer_text,FordB,0.537037,0.520369
classification_electricity_laya_mixer_text_stats_avg,EthanolConcentration,0.269962,0.180309
classification_electricity_laya_mixer_text_stats_avg,FaceDetection,0.513621,0.473927
classification_electricity_laya_mixer_text_stats_avg,Handwriting,0.050588,0.003704
classification_electricity_laya_mixer_text_stats_avg,Heartbeat,0.721951,0.419263
classification_electricity_laya_mixer_text_stats_avg,JapaneseVowels,0.381081,0.342074
classification_electricity_laya_mixer_text_stats_avg,PEMS-SF,0.242775,0.186092
classification_electricity_laya_mixer_text_stats_avg,SelfRegulationSCP1,0.744027,0.731203
classification_electricity_laya_mixer_text_stats_avg,SelfRegulationSCP2,0.500000,0.342959
classification_electricity_laya_mixer_text_stats_avg,SpokenArabicDigits,0.427012,0.419975
classification_electricity_laya_mixer_text_stats_avg,UWaveGestureLibrary,0.203125,0.126508
classification_electricity_laya_mixer_text_stats_avg,ECG200,0.670000,0.553994
classification_electricity_laya_mixer_text_stats_avg,ECG5000,0.891556,0.365808
classification_electricity_laya_mixer_text_stats_avg,FordA,0.596970,0.579098
classification_electricity_laya_mixer_text_stats_avg,FordB,0.509877,0.509331
classification_electricity_laya_mixer_text_stats_joint,EthanolConcentration,0.269962,0.179093
classification_electricity_laya_mixer_text_stats_joint,FaceDetection,0.502838,0.480928
classification_electricity_laya_mixer_text_stats_joint,Handwriting,0.038824,0.006684
classification_electricity_laya_mixer_text_stats_joint,Heartbeat,0.721951,0.419263
classification_electricity_laya_mixer_text_stats_joint,JapaneseVowels,0.340541,0.279671
classification_electricity_laya_mixer_text_stats_joint,PEMS-SF,0.248555,0.182644
classification_electricity_laya_mixer_text_stats_joint,SelfRegulationSCP1,0.716724,0.696290
classification_electricity_laya_mixer_text_stats_joint,SelfRegulationSCP2,0.500000,0.342959
classification_electricity_laya_mixer_text_stats_joint,SpokenArabicDigits,0.342883,0.334612
classification_electricity_laya_mixer_text_stats_joint,UWaveGestureLibrary,0.131250,0.037998
classification_electricity_laya_mixer_text_stats_joint,ECG200,0.640000,0.390244
classification_electricity_laya_mixer_text_stats_joint,ECG5000,0.876000,0.362398
classification_electricity_laya_mixer_text_stats_joint,FordA,0.669697,0.660435
classification_electricity_laya_mixer_text_stats_joint,FordB,0.561728,0.541781
classification_electricity_laya_relation_text,EthanolConcentration,0.311787,0.284903
